timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
368222738,1,0,1,1,0,0,1,1,0,1,1,1,1,0
368724961,1,0,1,1,0,0,1,1,0,1,1,1,1,0
369229620,1,0,1,1,0,0,1,1,0,1,1,1,1,0
369732487,1,0,1,1,0,0,1,1,0,1,1,1,1,0
370232961,1,0,1,1,0,0,1,1,0,1,1,1,1,0
370736565,1,0,1,1,0,0,1,1,0,1,1,1,1,0
371244671,1,0,1,1,0,0,1,1,0,1,1,1,1,0
371744790,1,0,1,1,0,0,1,1,0,1,1,1,1,0
372253587,1,0,1,1,0,0,1,1,0,1,1,1,1,0
372757475,1,0,1,1,0,0,1,1,0,1,1,1,1,0
373264479,1,0,1,1,0,0,1,1,0,1,1,1,1,0
373771839,1,0,1,1,0,0,1,1,0,1,1,1,1,0
374278124,1,0,1,1,0,0,1,1,0,1,1,1,1,0
374782881,1,0,1,1,0,0,1,1,0,1,1,1,1,0
375287921,1,0,1,1,0,0,1,1,0,1,1,1,1,0
375792507,1,0,1,1,0,0,1,1,0,1,1,1,1,0
376293947,1,0,1,1,0,0,1,1,0,1,1,1,1,0
376803553,1,0,1,1,0,0,1,1,0,1,1,1,1,0
377306479,1,0,1,1,0,0,1,1,0,1,1,1,1,0
377813877,1,0,1,1,0,0,1,1,0,1,1,1,1,0
378321942,1,0,1,1,0,0,1,1,0,1,1,1,1,0
378827008,1,0,1,1,0,0,1,1,0,1,1,1,1,0
379334471,1,0,1,1,0,0,1,1,0,1,1,1,1,0
379836071,1,0,1,1,0,0,1,1,0,1,1,1,1,0
380341309,1,0,1,1,0,0,1,1,0,1,1,1,1,0
380850688,1,0,1,1,0,0,1,1,0,1,1,1,1,0
381354562,1,0,1,1,0,0,1,1,0,1,1,1,1,0
381859512,1,0,1,1,0,0,1,1,0,1,1,1,1,0
382363521,1,0,1,1,0,0,1,1,0,1,1,1,1,0
382865511,1,0,1,1,0,0,1,1,0,1,1,1,1,0
383372408,1,0,1,1,0,0,1,1,0,1,1,1,1,0
383879712,1,0,1,1,0,0,1,1,0,1,1,1,1,0
384382667,1,0,1,1,0,0,1,1,0,1,1,1,1,0
384888520,1,0,1,1,0,0,1,1,0,1,1,1,1,0
385396887,1,0,1,1,0,0,1,1,0,1,1,1,1,0
385900803,1,0,1,1,0,0,1,1,0,1,1,1,1,0
386408577,1,0,1,1,0,0,1,1,0,1,1,1,1,0
386914471,1,0,1,1,0,0,1,1,0,1,1,1,1,0
387418730,1,0,1,1,0,0,1,1,0,1,1,1,1,0
387919537,1,0,1,1,0,0,1,1,0,1,1,1,1,0
388423818,1,0,1,1,0,0,1,1,0,1,1,1,1,0
388925912,1,0,1,1,0,0,1,1,0,1,1,1,1,0
389431010,1,0,1,1,0,0,1,1,0,1,1,1,1,0
389933780,1,0,1,1,0,0,1,1,0,1,1,1,1,0
390437469,1,0,1,1,0,0,1,1,0,1,1,1,1,0
390943656,1,0,1,1,0,0,1,1,0,1,1,1,1,0
391447778,1,0,1,1,0,0,1,1,0,1,1,1,1,0
391953687,1,0,1,1,0,0,1,1,0,1,1,1,1,0
392459919,1,0,1,1,0,0,1,1,0,1,1,1,1,0
392964836,1,0,1,1,0,0,1,1,0,1,1,1,1,0
393473672,1,0,1,1,0,0,1,1,0,1,1,1,1,0
393981527,1,0,1,1,0,0,1,1,0,1,1,1,1,0
394486635,1,0,1,1,0,0,1,1,0,1,1,1,1,0
395499626,1,0,1,1,0,0,1,1,0,1,1,1,1,0
396008516,1,0,1,1,0,0,1,1,0,1,1,1,1,0
396513549,1,0,1,1,0,0,1,1,0,1,1,1,1,0
397016553,1,0,1,1,0,0,1,1,0,1,1,1,1,0
397520801,1,0,1,1,0,0,1,1,0,1,1,1,1,0
398027022,1,0,1,1,0,0,1,1,0,1,1,1,1,0
