timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
367711345,1,0,1,0,0,0,0,0
368222747,1,0,1,0,0,0,0,0
368725108,1,0,1,0,0,0,0,0
369229628,1,0,1,0,0,0,0,0
369732502,1,0,1,0,0,0,0,0
370232972,1,0,1,0,0,0,0,0
370736577,1,0,1,0,0,0,0,0
371244680,1,0,1,0,0,0,0,0
371744802,1,0,1,0,0,0,0,0
372253592,1,0,1,0,0,0,0,0
372759389,1,0,1,0,0,0,0,0
373264494,1,0,1,0,0,0,0,0
373771847,1,0,1,0,0,0,0,0
374278136,1,0,1,0,0,0,0,0
374782889,1,0,1,0,0,0,0,0
375287933,1,0,1,0,0,0,0,0
375792518,1,0,1,0,0,0,0,0
376293955,1,0,1,0,0,0,0,0
376803558,1,0,1,0,0,0,0,0
377306490,1,0,1,0,0,0,0,0
377813886,1,0,1,0,0,0,0,0
378321954,1,0,1,0,0,0,0,0
378827026,1,0,1,0,0,0,0,0
379334482,1,0,1,0,0,0,0,0
379836082,1,0,1,0,0,0,0,0
380341317,1,0,1,0,0,0,0,0
380850699,1,0,1,0,0,0,0,0
381354573,1,0,1,0,0,0,0,0
381859523,1,0,1,0,0,0,0,0
382363532,1,0,1,0,0,0,0,0
382865522,1,0,1,0,0,0,0,0
383372416,1,0,1,0,0,0,0,0
383879726,1,0,1,0,0,0,0,0
384382678,1,0,1,0,0,0,0,0
384888531,1,0,1,0,0,0,0,0
385396899,1,0,1,0,0,0,0,0
385900815,1,0,1,0,0,0,0,0
386408681,1,0,1,0,0,0,0,0
386914482,1,0,1,0,0,0,0,0
387418742,1,0,1,0,0,0,0,0
387919548,1,0,1,0,0,0,0,0
388423840,1,0,1,0,0,0,0,0
388925927,1,0,1,0,0,0,0,0
389431018,1,0,1,0,0,0,0,0
389933791,1,0,1,0,0,0,0,0
390437481,1,0,1,0,0,0,0,0
390943677,1,0,1,0,0,0,0,0
391447792,1,0,1,0,0,0,0,0
391953699,1,0,1,0,0,0,0,0
392459928,1,0,1,0,0,0,0,0
392964847,1,0,1,0,0,0,0,0
393473684,1,0,1,0,0,0,0,0
393981538,1,0,1,0,0,0,0,0
394486646,1,0,1,0,0,0,0,0
395499634,1,0,1,0,0,0,0,0
396008527,1,0,1,0,0,0,0,0
396513560,1,0,1,0,0,0,0,0
397016614,1,0,1,0,0,0,0,0
397520813,1,0,1,0,0,0,0,0
398027037,1,0,1,0,0,0,0,0
398530334,1,0,1,0,0,0,0,0
399036495,1,0,1,0,0,0,0,0
399543894,1,0,1,0,0,0,0,0
400054887,1,0,1,0,0,0,0,0
400560668,1,0,1,0,0,0,0,0
401062611,1,0,1,0,0,0,0,0
401565903,1,0,1,0,0,0,0,0
402071051,1,0,1,0,0,0,0,0
402573042,1,0,1,0,0,0,0,0
403072694,1,0,1,0,0,0,0,0
403573562,1,0,1,0,0,0,0,0
404079323,1,0,1,0,0,0,0,0
404587815,1,0,1,0,0,0,0,0
405091784,1,0,1,0,0,0,0,0
405599630,1,0,1,0,0,0,0,0
406106662,1,0,1,0,0,0,0,0
406613559,1,0,1,0,0,0,0,0
407116657,1,0,1,0,0,0,0,0
407623352,1,0,1,0,0,0,0,0
408133493,1,0,1,0,0,0,0,0
408638556,1,0,1,0,0,0,0,0
409143638,1,0,1,0,0,0,0,0
409647488,1,0,1,0,0,0,0,0
410154808,1,0,1,0,0,0,0,0
410660662,1,0,1,0,0,0,0,0
411167866,1,0,1,0,0,0,0,0
411670267,1,0,1,0,0,0,0,0
412177305,1,0,1,0,0,0,0,0
412682414,1,0,1,0,0,0,0,0
413186522,1,0,1,0,0,0,0,0
413694505,1,0,1,0,0,0,0,0
414199605,1,0,1,0,0,0,0,0
414704287,1,0,1,0,0,0,0,0
415205531,1,0,1,0,0,0,0,0
415705593,1,0,1,0,0,0,0,0
416213908,1,0,1,0,0,0,0,0
416722348,1,0,1,0,0,0,0,0
417225591,1,0,1,0,0,0,0,0
417729590,1,0,1,0,0,0,0,0
418233566,1,0,1,0,0,0,0,0
418741020,1,0,1,0,0,0,0,0
419246487,1,0,1,0,0,0,0,0
419257997,1,0,1,0,1,0,0,0
419766524,1,0,1,0,1,0,0,0
420272830,1,0,1,0,1,0,0,0
420782577,1,0,1,0,1,0,0,0
421289366,1,0,1,0,1,0,0,0
421796529,1,0,1,0,1,0,0,0
422302622,1,0,1,0,1,0,0,0
422809618,1,0,1,0,1,0,0,0
423316358,1,0,1,0,1,0,0,0
423817672,1,0,1,0,1,0,0,0
424280037,0,0,1,0,1,0,0,0
424482820,0,0,1,0,0,0,0,0
424985810,0,0,1,0,0,0,0,0
